,Name,State-Province
0,University of Petroleum and Energy Studies,Dehradun
1,DAV Institute of Engineering & Technology,Punjab
2,Lovely Professional University,Punjab
4,NorthCap University,Haryana
5,Dharamsinh Desai University,Gujarat
6,University of Health Sciences Andhra Pradesh,Andhra Pradesh
8,Assam Agricultural University,Assam
9,Ahmedabad University,Gujarat
12,Alagappa University,Tamil Nadu
13,Allahabad University,Uttar Pradesh
15,Indian Board of Alternative Medicine,West Bengal
16,Amity University,Uttar Pradesh
17,Amrita Vishwa Vidyapeetham,Tamil Nadu
19,Aligarh Muslim University,Delhi
20,Andhra University,Andhra Pradesh
22,Annamalai University,Tamil Nadu
23,"Anna University of Technology, Tirunelveli",Tamil Nadu
24,Anna University,Tamil Nadu
25,Awadhesh Pratap Singh University,Madhya Pradesh
26,ARYA Institute of Engineering & Technology,Rajasthan
27,Assam University,Assam
28,Gujarat Ayurved University,Gujarat
37,Bengal Engineering College,West Bengal
38,Bangalore University,Karnataka
40,Bharathiar University,Tamil Nadu
41,Bharath Institue Of Higher Education & Research,Tamil Nadu
44,Banaras Hindu University,Uttar Pradesh
45,Orissa University of Agriculture and Technology,Odisha
46,"Birla Institute of Technology, Ranchi",Jharkhand
47,Birla Institute of Technology and Science,Rajasthan
50,B. R. Ambedkar Bihar University,Bihar
56,VIT Bhopal,Madhya Pradesh
59,University of Calcutta,West Bengal
64,Christ University,Karnataka
70,Cochin University of Science and Technology,Kerala
78,Tamil Nadu Agricultural University,Tamil Nadu
79,Delhi College of Engineering (DCE),Delhi
85,Dravidian University,Andhra Pradesh
86,University of Delhi,Delhi
87,Dr. D.Y. Patil University,Maharashtra
89,Fatima Mata National College,Kerala
90,Forest Research Institute Dehradun,Uttarakhand
98,"Global Open University , Nagaland",Nagaland
99,Gujarat Technological University Ahmedabad,Gujarat
100,Gujarat University Ahmedabad,Gujarat
104,CCS Haryana Agricultural University,Haryana
105,Himachal Pradesh Agricultural University,Himachal Pradesh
107,"Hidayatullah National Law University, Raipur",Chhattisgarh
109,Himachal Pradesh University,Himachal Pradesh
113,"ICFAI University, Dehradun",Dehradun
114,ICFAI University,Tripura
115,"ICFAI University, Sikkim",Sikkim
116,"ICFAI University, Mizoram",Mizoram
117,"ICFAI University, Meghalaya",Meghalaya
118,"ICFAI University, Jharkhand",Jharkhand
119,"ICFAI University, Nagaland",Nagaland
120,"ICFAI University, Jaipur",Rajasthan
121,"ICFAI University, Raipur",Chhattisgarh
122,"ICFAI University, Himachal Pradesh",Himachal Pradesh
123,"ICFAI University, Hyderabad",Telangana
128,Indian Institute of Information Technology Allahabad,Uttar Pradesh
129,Indian Institute of Information Technology and Management - Kerala,Kerala
130,"Indraprastha Institute of Information Technology, Delhi",Delhi
131,"International Institute of Information Technology, Pune",Maharashtra
132,"International Institute of Information Technology, Bhubaneswar",Odisha
133,"International Institute of Information Technology, Bangalore",Karnataka
134,"Indian Institute of Management, Tiruchirappalli",Tamil Nadu
135,"Indian Institute of Information Technology, Guwahati",Assam
136,"Indian Institute of Information Technology, Vadodara",Gujarat
137,"Indian Institute of Information Technology, Kota",Rajasthan
138,International Institute for Population Sciences,Maharashtra
139,Indian Institute of Science,Karnataka
140,"Indian Institute of Technology, Bombay",Maharashtra
141,"Indian Institute of Technology, Delhi",Delhi
142,"Indian Institute of Technology, Gandhinagar",Gujarat
143,"Indian Institute of Technology, Guwahati",Assam
144,"Indian Institute of Technology, Hyderabad",Telangana
145,"Indian Institute of Technology, Kanpur",Uttar Pradesh
146,"Indian Institute of Technology, Kharagpur",West Bengal
147,"Indian Institute of Technology, Madras",Tamil Nadu
148,Madras Institute of Technology,Tamil Nadu
149,"Indian Institute of Technology, Roorkee",Uttarakhand
150,"Indian Institute of Technology, Patna",Bihar
151,"Indian Institute of Technology, Indore",Madhya Pradesh
152,"Indian Institute of Technology, Jodhpur",Rajasthan
154,Indian Law Institue,Delhi
164,Jadavpur University,West Bengal
167,University of Jammu,Jammu
170,Jamia Millia Islamia University,Delhi
174,Jawaharlal Nehru University,Delhi
175,Jaipur National University,Rajasthan
176,Jodhpur National University,Rajasthan
178,Rajasthan Vidyapeeth University,Rajasthan
180,Kalinga University,Chhattisgarh
182,Kannada University,Karnataka
186,Karnataka State Open University,Karnataka
187,Karpagam University,Tamil Nadu
188,Karunya Institute Of Technology,Tamil Nadu
189,University of Kashmir,Kashmir
190,Kerala Agricultural University,Kerala
191,University of Kerala,Kerala
196,Karnataka State Law University,Karnataka
198,Kerala University of Fisheries and Ocean Sciences,Kerala
200,Kumaraguru College of Technology,Tamil Nadu
207,University of Lucknow,Uttar Pradesh
210,Mangalore University,Karnataka
211,Manipal University,Karnataka
212,Manipur University,Manipur
216,"Maharishi Dayanand University, Rohtak",Haryana
219,"Mahatma Gandhi University, Kerala",Kerala
221,Madurai Kamaraj University,Tamil Nadu
225,Madhya Pradesh Bhoj (Open) University,Madhya Pradesh
228,University of Mumbai,Maharashtra
230,Nagaland University,Nagaland
231,Nagpur University,Maharashtra
234,University of North Bengal,West Bengal
238,Hemchandracharay North Gujarat University,Gujarat
245,National Institute of Technology Andhra Pradesh,Andhra Pradesh
246,National Institute of Technology Arunachal Pradesh,Arunachal Pradesh
247,National Institute of Technology Calicut,Kerala
248,National Institute of Technology Delhi,Delhi
249,National Institute of Technology Durgapur,West Bengal
250,National Institute of Technology Goa,Goa
251,National Institute of Technology Hamirpur,Himachal Pradesh
252,National Institute of Technology Jamshedpur,Jharkhand
253,National Institute of Technology Kurukshetra,Haryana
254,National Institute of Technology Manipur,Manipur
255,National Institute of Technology Meghalaya,Meghalaya
256,National Institute of Technology Mizoram,Mizoram
257,National Institute of Technology Nagaland,Nagaland
258,National Institute of Technology Patna,Bihar
259,National Institute of Technology Puducherry,Puducherry
260,National Institute of Technology Raipur,Chhattisgarh
261,National Institute of Technology Rourkela,Odisha
262,National Institute of Technology Sikkim,Sikkim
263,National Institute of Technology Silchar,Assam
264,National Institute of Technology Srinagar,Jammu and Kashmir
265,National Institute of Technology Surathkal,Karnataka
266,National Institute of Technology Trichy,Tamil Nadu
267,National Institute of Technology Uttarakhand,Uttarakhand
268,National Institute of Technology Warangal,Telangana
271,North Maharashtra University,Maharashtra
276,Punjab Agricultural University,Punjab
279,Punjab Engineering College,Punjab
280,PES University,Karnataka
281,Postgraduate lnstitute of Medical Education and Research,Punjab and Haryana
282,Pondicherry University,Puducherry
283,PSG College of Technology,Tamil Nadu
285,Punjab Technical University,Punjab
286,Panjab University,Punjab
287,Punjabi University Patiala,Punjab
288,Patna University,Bihar
291,Ranchi University,Jharkhand
292,"Rajasthan Agricultural University, Bikaner",Rajasthan
294,Rajiv Gandhi Technical University (University of Technology of Madhya Pradesh),Madhya Pradesh
299,Rajasthan Technical University,Rajasthan
304,SASTRA University,Tamil Nadu
305,Sathyabama University,Tamil Nadu
321,"Sikkim Manipal University of Health, Medical and Technological Sciences",Sikkim
325,School of Planning and Architecture,Delhi
326,Periyar University,Tamil Nadu
330,SRM Institute Of Science & Technology,Tamil Nadu
340,Tamil University,Tamil Nadu
341,Tamil Nadu Veterinary and Animal Sciences University,Tamil Nadu
342,Thiagarajar College of Engineering,Tamil Nadu
343,Potti Sreeramulu Telugu University,Telangana
345,The New College,Tamil Nadu
346,Thapar Institute of Engineering and Technology,Punjab
350,Tamil Nadu Dr. Ambedkar Law University,Tamil Nadu
351,Tamil Nadu Dr. M.G.R. Medical University,Tamil Nadu
353,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh
354,Malaviya National Institute of Technology Jaipur,Rajasthan
358,Thiruvalluvar University,Tamil Nadu
359,"University of Agricultural Sciences, Bangalore",Karnataka
361,Uttarakhand Technical University,Uttarakhand
363,University of Calicut,Kerala
364,Goa University,Goa
365,University of Mysore,Karnataka
366,University of Pune,Maharashtra
367,University of Rajasthan,Rajasthan
369,University of Madras,Tamil Nadu
370,University of Hyderabad,Telangana
373,Uttarakhand Open University,Uttarakhand
374,Uttar Pradesh Technical University,Uttar Pradesh
383,Vellore Institute of Technology,Tamil Nadu
386,Visvesvaraya National Institute of Technology,Maharashtra
388,Visvesvaraya Technological University,Karnataka
389,West Bengal University of Animal and Fishery Sciences,West Bengal
390,West Bengal University of Technology,West Bengal
394,Navrachana University,Gujarat
395,"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Madhya Pradesh
396,IIT Bhubaneswar,Odisha
397,SRM University,Andhra Pradesh
400,Uttaranchal University,Uttarakhand
401,"University College, Thiruvananthapuram",Kerala
406,Panimalar Engineering College,Tamil Nadu
407,Rajalakshmi Engineering College,Tamil Nadu
408,St Joseph's College Of Engineering,Tamil Nadu
409,St Joseph's Institute Of Technology,Tamil Nadu
410,Sri Sivasubramaniya Nadar Institutions,Tamil Nadu
411,Saveetha Engineering College,Tamil Nadu
412,Sri Venkateswara College of Engineering,Tamil Nadu
413,Easwari Engineering College,Tamil Nadu
414,Jeppiar Engineering College,Tamil Nadu
415,Rajalakshmi Institute of Technology,Tamil Nadu
416,Saveetha School of Engineering,Tamil Nadu
